Nom Reg,Code Reg,Comuna,Code comuna,Distrito,N Constituyentes,N de Candidatos,Pob Comuna,Pob Distrito,ppm
Arica y Parinacota,15,General Lagos,15202,1,3,38,810,252.110,12
Arica y Parinacota,15,Putre,15201,1,3,38,2.515,252.110,12
Arica y Parinacota,15,Camarones,15102,1,3,38,1.233,252.110,12
Arica y Parinacota,15,Arica,15101,1,3,38,247.552,252.110,12
Tarapacá,1,Pica,1405,2,3,43,5.958,382.773,8
Tarapacá,1,Huara,1404,2,3,43,3.000,382.773,8
Tarapacá,1,Colchane,1403,2,3,43,1.583,382.773,8
Tarapacá,1,Camiña,1402,2,3,43,1.375,382.773,8
Tarapacá,1,Pozo Almonte,1401,2,3,43,17.395,382.773,8
Tarapacá,1,Alto Hospicio,1107,2,3,43,129.999,382.773,8
Tarapacá,1,Iquique,1101,2,3,43,223.463,382.773,8
Antofagasta,2,Maria Elena,2302,3,5,42,6.814,691.854,7
Antofagasta,2,Tocopilla,2301,3,5,42,28.079,691.854,7
Antofagasta,2,San Pedro de Atacama,2203,3,5,42,10.434,691.854,7
Antofagasta,2,Ollagüe,2202,3,5,42,287,691.854,7
Antofagasta,2,Calama,2201,3,5,42,190.336,691.854,7
Antofagasta,2,Taltal,2104,3,5,42,13.657,691.854,7
Antofagasta,2,Sierra Gorda,2103,3,5,42,1.746,691.854,7
Antofagasta,2,Mejillones,2102,3,5,42,14.776,691.854,7
Antofagasta,2,Antofagasta,2101,3,5,42,425.725,691.854,7
Atacama,3,Huasco,3304,4,5,29,11.264,314.709,16
Atacama,3,Freirina,3303,4,5,29,7.681,314.709,16
Atacama,3,Alto del Carmen,3302,4,5,29,5.729,314.709,16
Atacama,3,Vallenar,3301,4,5,29,57.009,314.709,16
Atacama,3,Diego de Almagro,3202,4,5,29,14.358,314.709,16
Atacama,3,Chañaral,3201,4,5,29,13.164,314.709,16
Atacama,3,Tierra Amarilla,3103,4,5,29,14.312,314.709,16
Atacama,3,Caldera,3102,4,5,29,19.426,314.709,16
Atacama,3,Copiapo,3101,4,5,29,171.766,314.709,16
Coquimbo,4,Rio Hurtado,4305,5,7,42,4.372,836.096,8
Coquimbo,4,Punitaqui,4304,5,7,42,12.165,836.096,8
Coquimbo,4,Monte Patria,4303,5,7,42,32.527,836.096,8
Coquimbo,4,Combarbala,4302,5,7,42,13.884,836.096,8
Coquimbo,4,Ovalle,4301,5,7,42,121.269,836.096,8
Coquimbo,4,Salamanca,4204,5,7,42,29.110,836.096,8
Coquimbo,4,Los Vilos,4203,5,7,42,23.374,836.096,8
Coquimbo,4,Canela,4202,5,7,42,9.546,836.096,8
Coquimbo,4,Illapel,4201,5,7,42,32.801,836.096,8
Coquimbo,4,Vicuña,4106,5,7,42,29.741,836.096,8
Coquimbo,4,Paiguano,4105,5,7,42,4.675,836.096,8
Coquimbo,4,La Higuera,4104,5,7,42,4.450,836.096,8
Coquimbo,4,Andacollo,4103,5,7,42,11.791,836.096,8
Coquimbo,4,Coquimbo,4102,5,7,42,256.735,836.096,8
Coquimbo,4,La Serena,4101,5,7,42,249.656,836.096,8
Valparaíso,5,Villa Alemana,5804,6,8,71,139.310,1.017.392,8
Valparaíso,5,Olmue,5803,6,8,71,19.266,1.017.392,8
Valparaíso,5,Limache,5802,6,8,71,49.931,1.017.392,8
Valparaíso,5,Quilpue,5801,6,8,71,167.085,1.017.392,8
Valparaíso,5,Santa Maria,5706,6,8,71,16.367,1.017.392,8
Valparaíso,5,Putaendo,5705,6,8,71,17.645,1.017.392,8
Valparaíso,5,Panquehue,5704,6,8,71,7.633,1.017.392,8
Valparaíso,5,Llaillay,5703,6,8,71,26.533,1.017.392,8
Valparaíso,5,Catemu,5702,6,8,71,15.213,1.017.392,8
Valparaíso,5,San Felipe,5701,6,8,71,83.494,1.017.392,8
Valparaíso,5,Nogales,5506,6,8,71,23.490,1.017.392,8
Valparaíso,5,La Cruz,5504,6,8,71,25.321,1.017.392,8
Valparaíso,5,Hijuelas,5503,6,8,71,19.099,1.017.392,8
